PONTOS,Indice,DATA,HORARIO,NOME DA EMBARCACAO,COMPRIMENTO DO TRECHO,DURACAO DO TRECHO,VELOCIDADE,PERCURSO DO TRECHO,LATITUDE,LOGITUDE,MARE,TRAJETO
1,1,2013-06-10,12:51:34,MONIQUE,0.003,00:00:01,7.0,330.7° ,-11.113583333333333,-36.9976,1,1.0
2,2,2013-06-10,12:51:35,MONIQUE,0.011,00:00:01,5.0,345.4° ,-11.113566666666667,-36.997616666666666,1,1.0
3,3,2013-06-10,12:51:36,MONIQUE,0.001,00:00:01,2.2,9.4° ,-11.11355,-36.997616666666666,1,1.0
4,4,2013-06-10,12:51:37,MONIQUE,0.001,00:00:03,1.7,323.3° ,-11.11355,-36.997616666666666,1,1.0
5,5,2013-06-10,12:51:40,MONIQUE,0.001,00:00:04,4.2,339.0° ,-11.113533333333333,-36.997616666666666,1,1.0
6,6,2013-06-10,12:51:44,MONIQUE,0.005,00:00:06,3.7,326.6° ,-11.1135,-36.99763333333333,1,1.0
7,7,2013-06-10,12:51:50,MONIQUE,0.001,00:00:02,4.5,344.4° ,-11.11345,-36.99766666666667,1,1.0
8,8,2013-06-10,12:51:52,MONIQUE,0.002,00:00:05,3.0,340.1° ,-11.113433333333333,-36.99766666666667,1,1.0
9,9,2013-06-10,12:51:57,MONIQUE,0.001,00:00:02,6.0,322.4° ,-11.113383333333333,-36.997683333333335,1,1.0
10,10,2013-06-10,12:51:59,MONIQUE,0.003,00:00:01,4.3,347.6° ,-11.113366666666666,-36.9977,1,1.0
11,11,2013-06-10,12:52:00,MONIQUE,0.003,00:00:01,3.4,8.9° ,-11.11335,-36.9977,1,1.0
12,12,2013-06-10,12:52:01,MONIQUE,0.001,00:00:01,2.6,357.8° ,-11.11335,-36.9977,1,1.0
13,13,2013-06-10,12:52:02,MONIQUE,0.001,00:00:04,3.0,328.6° ,-11.11335,-36.9977,1,1.0
14,14,2013-06-10,12:52:06,MONIQUE,0.002,00:00:02,4.3,334.1° ,-11.113316666666666,-36.99771666666667,1,1.0
15,15,2013-06-10,12:52:08,MONIQUE,0.001,00:00:04,3.5,352.8° ,-11.1133,-36.997733333333336,1,1.0
16,16,2013-06-10,12:52:12,MONIQUE,0.001,00:00:05,3.6,332.5° ,-11.113266666666666,-36.997733333333336,1,1.0
17,17,2013-06-10,12:52:17,MONIQUE,0.001,00:00:03,3.7,353.3° ,-11.113216666666666,-36.99775,1,1.0
18,18,2013-06-10,12:52:20,MONIQUE,0.001,00:00:03,3.3,325.6° ,-11.1132,-36.997766666666664,1,1.0
19,19,2013-06-10,12:52:23,MONIQUE,0.004,00:00:12,3.4,341.3° ,-11.113166666666666,-36.997766666666664,1,1.0
20,20,2013-06-10,12:52:35,MONIQUE,0.001,00:00:01,2.0,328.4° ,-11.113083333333334,-36.9978,1,1.0
21,21,2013-06-10,12:52:36,MONIQUE,0.001,00:00:01,3.2,318.9° ,-11.113083333333334,-36.997816666666665,1,1.0
22,22,2013-06-10,12:52:37,MONIQUE,0.001,00:00:01,4.3,336.6° ,-11.113066666666667,-36.997816666666665,1,1.0
23,23,2013-06-10,12:52:38,MONIQUE,0.001,00:00:05,3.9,348.1° ,-11.113066666666667,-36.997816666666665,1,1.0
24,24,2013-06-10,12:52:43,MONIQUE,0.001,00:00:01,2.1,343.3° ,-11.113016666666667,-36.99783333333333,1,1.0
25,25,2013-06-10,12:52:44,MONIQUE,0.001,00:00:02,3.0,345.4° ,-11.113,-36.99783333333333,1,1.0
26,26,2013-06-10,12:52:46,MONIQUE,0.001,00:00:01,3.4,342.4° ,-11.113,-36.99783333333333,1,1.0
27,27,2013-06-10,12:52:47,MONIQUE,0.002,00:00:03,3.4,358.0° ,-11.112983333333334,-36.99783333333333,1,1.0
28,28,2013-06-10,12:52:50,MONIQUE,0.004,00:00:04,2.7,353.9° ,-11.112966666666667,-36.99783333333333,1,1.0
29,29,2013-06-10,12:52:54,MONIQUE,0.001,00:00:01,4.1,330.4° ,-11.112933333333334,-36.99783333333333,1,1.0
30,30,2013-06-10,12:52:55,MONIQUE,0.003,00:00:01,3.7,332.7° ,-11.112916666666667,-36.99785,1,1.0
31,31,2013-06-10,12:52:56,MONIQUE,0.001,00:00:02,3.4,0.0° ,-11.112916666666667,-36.99785,1,1.0
32,32,2013-06-10,12:52:58,MONIQUE,0.003,00:00:01,2.7,43.0° ,-11.1129,-36.99785,1,1.0
33,33,2013-06-10,12:52:59,MONIQUE,0.001,00:00:01,2.6,23.2° ,-11.1129,-36.99785,1,1.0
34,34,2013-06-10,12:53:00,MONIQUE,0.002,00:00:01,3.9,3.9° ,-11.112883333333333,-36.99785,1,1.0
35,35,2013-06-10,12:53:01,MONIQUE,0.005,00:00:01,5.0,4.3° ,-11.112883333333333,-36.99785,1,1.0
36,36,2013-06-10,12:53:02,MONIQUE,0.003,00:00:04,3.3,354.9° ,-11.112866666666667,-36.99785,1,1.0
37,37,2013-06-10,12:53:06,MONIQUE,0.004,00:00:01,2.4,33.2° ,-11.112833333333333,-36.99785,1,1.0
38,38,2013-06-10,12:53:07,MONIQUE,0.001,00:00:01,3.6,12.0° ,-11.112833333333333,-36.99783333333333,1,1.0
39,39,2013-06-10,12:53:08,MONIQUE,0.002,00:00:01,5.0,7.1° ,-11.112816666666667,-36.99783333333333,1,1.0
40,40,2013-06-10,12:53:09,MONIQUE,0.001,00:00:01,5.0,5.0° ,-11.1128,-36.99783333333333,1,1.0
41,41,2013-06-10,12:53:10,MONIQUE,0.006,00:00:02,2.5,26.5° ,-11.1128,-36.99783333333333,1,1.0
42,42,2013-06-10,12:53:12,MONIQUE,0.003,00:00:02,2.6,15.1° ,-11.112783333333333,-36.99783333333333,1,1.0
43,43,2013-06-10,12:53:14,MONIQUE,0.0,00:00:01,4.0,18.7° ,-11.112766666666667,-36.99783333333333,1,1.0
